Palaeo_lat,Palaeo_long,MAT,uncert,Palaeo_long_adjusted
56.364,71.822,9,1,71.822
41.092,34.232,19,1.8,34.232
39.064,33.475,19,1.8,33.475
47.516,14.805,18.5,2.5,14.805
37.692,27.013,19.15,2.15,27.013
43.972,18.828,16.1,0.5,18.828
48.038,21.679,15.95,0.25,21.679
40.227,30.991,19,1.8,30.991
44.305,19.185,15.55,1.75,19.185
43.939,19.768,14.9,0.5,19.768
43.427,27.041,15.4,1.8,27.041
44.137,118.63,12,3,118.63
47.335,25.137,16.2,0.5,25.137
38.893,27.255,19,1.8,27.255
64.998,-140.17,9,5,219.83
43.773,21.539,17,1.4,21.539
46.761,29.274,9.5,4.9,29.274
47.956,10.6,18.3,2.5,10.6
48.008,20.044,16.1,0.5,20.044
37.689,31.125,19,1.8,31.125
57.529,73.205,9,1,73.205
55.034,6.305,19,2,6.305
55.088,6.43,19.5,3,6.43
0.038,35.793,21.9,5,35.793
45.372,32.228,15.6,5,32.228
49.904,4.84,18,3,4.84
43.644,21.596,17,1.4,21.596
47.98,11.357,18.3,2.5,11.357
21.323,99.944,19.65,0.85,99.944
39.728,-65.282,13.3,5,294.718
36.97,27.171,18.9,2.4,27.171
44.087,19.644,15.5,1.1,19.644
65.815,152.144,8,1,152.144
47.811,18.028,15.25,1.25,18.028
47.958,10.666,18.3,2.5,10.666
7.721,-80.855,15.5,4.9,279.145
44.512,19.393,15.35,1.25,19.393
43.639,20.389,15.5,1.1,20.389
68.199,-132.538,9,5,227.462
39.729,-113.792,11.5,5,246.208
47.083,8.103,16.4,0.8,8.103
43.795,20.396,15,1.5,20.396
39.004,118.063,16.25,0.95,118.063
39.036,26.705,18.3,3,26.705
47.974,19.921,14.3,0.2,19.921
35.303,-112.75,17.85,0.95,247.25
46.11,17.27,19,1,17.27
47.846,21.605,16.8,1.6,21.605
47.223,24.925,15.95,0.65,24.925
-45.558,145.768,19,5,145.768
-45.563,145.729,19,5,145.729
37.265,27.477,18.6,1.9,27.477
29.274,-79.6,19.55,3.35,280.4
23.138,111.324,17,1.4,111.324
24.257,114.715,22.2,0,114.715
21.845,109.861,18.5,3.7,109.861
19.087,110.723,17,1.4,110.723
31.315,121.145,15.9,0.2,121.145
32.001,121.916,15.9,0.2,121.916
29.202,117.192,15.9,0.2,117.192
28.209,122.569,18.95,3.25,122.569
21.157,111.093,18.05,3.25,111.093
45.888,-110.211,16,4.5,249.789
45.863,-109.843,14.5,10,250.157
46.722,-112.37,16.1,4.4,247.63
46.481,-111.004,19.1,4.4,248.996
45.861,-111.789,16,4.4,248.211
46.001,-110.849,16.65,4.4,249.151
46.173,-109.956,17.2,4.4,250.044
50.036,4.843,15.8,2.2,4.843
50.079,4.914,17.5,4.2,4.914
-22.909,-58.878,23.55,2.05,301.122
3.505,36.313,24.4,1.6,36.313
35.041,107.57,18.35,2.55,107.57
44.989,111.097,17.2,3.9,111.097
40.983,94.172,18.95,3.25,94.172
37.57,100.773,15.55,6.15,100.773
25.548,88.811,8.21,2.82,88.811
50.965,12.168,16.85,0.45,12.168
50.871,11.851,16.65,0.15,11.851
47.734,8.555,16.3,0.6,8.555
46.48,13.695,16.65,0.95,13.695
42.892,76.598,14.2,2.7,76.598
47.848,9.726,18.25,2.55,9.726
-13.937,138.42,26.95,0.05,138.42
24.174,82.344,26.8,0.3,82.344
40.063,-114.6,17.8,1,245.4
47.835,22.094,17,1.4,22.094
-40.516,139.471,18.05,2.25,139.471
74.436,-110.851,15.7,0.4,249.149
-49.387,178.126,18.25,1.75,178.126
-28.824,-60.16,19.95,6.55,299.84
-54.988,-61.858,16.8,4.5,298.142
40.662,43.01,17.4,0.9,43.01
47.1,34.263,18.4,0,34.263
41.119,-4.259,17,1.4,355.741
47.77,7.961,16.05,0.45,7.961
38.239,26.46,17.5,0.5,26.46
45.736,17.093,16.1,2,17.093
-41.197,-62.022,26,1,297.978
38.115,-68.114,16.25,2.75,291.886
56.503,74.554,12.75,0.25,74.554
66.25,175.456,12.75,3.65,175.456
59.676,81.601,11.25,1.75,81.601
56.608,78.709,15.4,2.1,78.709
52.3,66.605,14.5,1.2,66.605
-48.902,178.054,20.2,1,178.054
-61.581,133.736,11,5,133.736
36.482,105.144,16.5,2.5,105.144
-31.6,132.418,17,5,132.418
36.091,99.78,15.15,0.95,99.78
