Palaeo_lat,Palaeo_long,MAT,uncert,Palaeo_long_adjusted
55.061,6.3675,19,2,6.3675
-45.3505,145.7615,19,5,145.7615
45.8985,-110.3745,16,4.5,249.6255
45.8755,-110.027,14.5,10,249.973
46.7305,-112.5355,16.1,4.4,247.4645
46.4835,-111.0455,19.1,4.4,248.9545
45.864,-111.8505,16,4.4,248.1495
46.0075,-110.951,16.65,4.4,249.049
46.173,-109.956,17.2,4.4,250.044
50.052,4.8695,15.8,2.2,4.8695
50.1075,4.963,17.5,4.2,4.963
25.665,88.8515,8.21,2.82,88.8515
47.7545,8.592,16.3,0.6,8.592
46.4955,13.731,16.65,0.95,13.731
47.8695,9.768,18.25,2.55,9.768
40.071,-114.7925,17.8,1,245.2075
-40.2585,139.502,18.05,2.25,139.502
74.4595,-111.6145,15.7,0.4,248.3855
40.6335,43.0675,17.4,0.9,43.0675
47.09,34.35,18.4,0,34.35
45.763,17.171,16.1,2,17.171
-41.176,-62.0895,26,1,297.9105
38.171,-68.2805,16.25,2.75,291.7195
-48.8295,177.9,20.2,1,177.9
-61.6215,133.7505,11,5,133.7505
36.413,105.1245,16.5,2.5,105.1245
