Site,Mid Miocene SST,Mid Miocene Uncertainty,Mid Miocene Lat,Mid Miocene Lon,Mid Miocene Adjusted,,,,,,,
DSDP594,23.20,3.00,-48.93,178.21,178.21,,,,,,,
608Uk37,27.22,3.00,41.51,-23.46,336.54,,,,,,,
608Tex86,25.63,8.14,41.55,-23.45,336.55,,,,,,,
722,30.74,4.01,15.94,61.43,61.43,,,,,,,
730,31.25,4.05,7.33,57.23,57.23,,,,,,,
761,28.80,4.00,-23.06,112.79,112.79,,,,,,,
806Tex86,30.23,5.00,-2.09,168.89,168.89,,,,,,,
846,28.75,3.00,-5.62,-80.77,279.23,,,,,,,
850Tex86,27.84,5.00,-2.51,-101.12,258.88,,,,,,,
850Uk37,28.33,3.00,-2.51,-101.12,258.88,,,,,,,
907,18.79,3.00,67.86,-15.47,344.53,,,,,,,
925Uk37,27.86,3.00,2.58,-38.55,321.45,,,,,,,
925Tex86,27.63,5.00,2.58,-38.55,321.45,,,,,,,
926,27.23,4.00,1.65,-37.66,322.34,,,,,,,
982Uk37L,26.62,3.00,56.72,-17.33,342.67,,,,,,,
982Tex86,24.09,6.11,56.18,-17.20,342.80,,,,,,,
982Uk37S,24.36,3.00,56.23,-17.16,342.84,,,,,,,
1010,27.17,3.00,26.09,-108.69,251.31,,,,,,,
1021,22.13,3.00,34.88,-118.60,241.40,,,,,,,
1085Uk37,26.68,3.00,-31.14,14.32,14.32,,,,,,,
1085Tex86,28.90,5.00,-31.15,14.32,14.32,,,,,,,
1088,20.56,3.00,-42.07,14.45,14.45,,,,,,,
1092,13.09,4.00,-47.70,7.57,7.57,,,,,,,
1146,27.92,4.00,21.18,117.57,117.57,,,,,,,
U1338,28.29,3.00,-7.02,-107.26,252.74,,,,,,,
U1356,9.54,5.00,-61.84,133.96,133.96,,,,,,,
1171,15.89,4.00,-55.02,149.60,149.60,,,,,,,
AND2A,6.07,5.00,-76.85,157.09,157.09,,,,,,,
LOM1,24.75,4.00,48.94,14.90,14.90,,,,,,,
Med,28.37,3.00,42.91,13.55,13.55,,,,,,,
